feature,importance
Contract,0.15942158928308003
tenure,0.141284304284711
MonthlyCharges,0.09785069314739561
TotalCharges,0.0965957336612133
avg_monthly_spend,0.0937337604419276
OnlineSecurity,0.08195412911986079
tenure_group,0.062260419910450546
TechSupport,0.058844298128334444
InternetService,0.04601008956815619
PaymentMethod,0.03189941095332681
OnlineBackup,0.02847708528520276
PaperlessBilling,0.018159637001081936
DeviceProtection,0.014295872009319465
MultipleLines,0.012897829738589942
SeniorCitizen,0.010644622797595584
StreamingTV,0.009591241244824987
StreamingMovies,0.00903043007102642
gender,0.008775978740133382
Dependents,0.007969883269422159
Partner,0.0066410189956572375
PhoneService,0.0036619723486896786
